"billing_log_recid","Open/Closed","Invoice","Ticket #","Company Name","Customer PO","Invoice Total","Date","Status","Invoice Type","Project / Phase","Sales Order #","Location","Department","Internal Notes","GL","Routed To","Down Payment Applied","Credit Amount","Paid Amount","Date Paid","Agreement Type","Bill To","Invoice Balance","Site","Invoice Delivery","Tax Code","Account ID","Due Date","Invoice Reference","Service Total","Expense Total","Product Total","Sales Tax","Unbatched","Billing Terms","Pending Application","Procurement Needed","Partner Name","Sales Rep.","Business Development?"
"32423","Closed","31922","","Conejo Valley Services","December NCE Additions","558.60","12/22/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Admin","","N","EWolf","0.00","0.00","558.60","01/06/2026 10:08 am","","Conejo Valley Services","0.00","OLD Main - Storage and Training","E-Mail","Avatax","Conejo Valley Heating and Air","12/22/2025 12:00 am","Microsoft F3 & Business Premium","0.00","0.00","558.60","0.00","False","Due Upon Receipt","False","false","","","false"
"32429","Closed","31927","","OneOncology ","POTS:  Camarillo CA New Office Build Out","12600.00","12/22/2025 12:00 am","Closed - Emailed","Standard","","4986","Corporate","Managed Services","","N","EWolf","0.00","0.00","12600.00","01/19/2026 10:02 am","","OneOncology ","0.00","Nashville Practice","E-Mail","Avatax","OneOncology","12/22/2025 12:00 am","Order #4986","0.00","0.00","12600.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32424","Closed","31923","","Realworld Asset Group","December License Additions","9.60","12/22/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Admin","","N","EWolf","0.00","0.00","9.60","01/09/2026 3:25 pm","","Realworld Asset Group","0.00","www.realworldassetgroup.com","E-Mail","Avatax","RWA Group","12/22/2025 12:00 am","NCE Exchange Added in December","0.00","0.00","9.60","0.00","False","Due Upon Receipt","False","false","","","false"
"32421","Closed","31921","","Drapery Affair","Tiara Internet Connnect","62.50","12/19/2025 12:00 am","Closed - Emailed","Standard","","4985","Corporate","Admin","","N","EWolf","0.00","0.00","62.50","01/22/2026 4:29 pm","","Drapery Affair","0.00","Main","E-Mail","Avatax","Drapery Affair","12/19/2025 12:00 am","Order #4985","0.00","0.00","62.50","0.00","False","Due Upon Receipt","False","false","","","false"
"32420","Closed","31920","","OP-Center.com LLC","Barracuda CORE","420.00","12/19/2025 12:00 am","Closed - Emailed","Standard","","4984","Corporate","Sales","","N","ABrock","0.00","0.00","420.00","12/19/2025 5:53 pm","","OP-Center.com LLC","0.00","Main","E-Mail","Avatax","OP-Centerr.com LLC","12/19/2025 12:00 am","Order #4984","0.00","0.00","420.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32422","Closed","31920.1","","OP-Center.com LLC","","12.60","12/19/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","12.60","12/19/2025 5:53 pm","","OP-Center.com LLC","0.00","Main","E-Mail","Avatax","OP-Centerr.com LLC","12/19/2025 12:00 am","Online Processing Fee for 31920.1","0.00","0.00","12.60","0.00","False","Due Upon Receipt","False","","","",""
"32419","Closed","31919","","Osterfeld Champion Service","2026 Renewal","412.30","12/19/2025 12:00 am","Closed - Emailed","Standard","","4983","Corporate","Admin","","N","Ngoodwin","0.00","0.00","412.30","01/16/2026 12:44 pm","","Osterfeld Champion Service","0.00","Main","E-Mail","Avatax","OsterfeldChampion","12/19/2025 12:00 am","Order #4983","0.00","0.00","412.30","0.00","False","Due Upon Receipt","False","true","Barracuda","Marcello Moreira","false"
"32412","Closed","31912","","A Change in Trajectory (ACT)","Final Managed Services Invoice","2066.38","12/18/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Admin","","N","EWolf","0.00","0.00","2066.38","01/02/2026 10:32 am","","A Change in Trajectory (ACT)","0.00","(new) Main","E-Mail","Avatax","A Change in Trajectory (ACT)","12/18/2025 12:00 am","ACT Jan MS","0.00","0.00","1964.00","102.38","False","Due Upon Receipt","False","false","","","false"
"32415","Closed","31915","","Arc Research Institute","Illustrator - Paul Bunk","356.72","12/18/2025 12:00 am","No Past Due Notices Sent","Standard","","4979","Corporate","Admin","","N","ABrock","0.00","0.00","356.72","12/23/2025 10:07 am","","Arc Research Institute","0.00","Main","E-Mail","Avatax","ARC Research","12/18/2025 12:00 am","Order #4979","0.00","0.00","356.72","0.00","False","Due Upon Receipt","False","false","","","false"
"32418","Closed","31918","","Blue Ocean Barns","(3) Aerohive Renewal - Main 2026","598.44","12/18/2025 12:00 am","No Past Due Notices Sent","Standard","","4982","Corporate","Admin","","N","Ngoodwin","0.00","0.00","598.44","01/16/2026 9:45 am","","Blue Ocean Barns","0.00","Main - Hale Iako","E-Mail","Avatax","Blue Ocean Barns","12/18/2025 12:00 am","Order #4982","0.00","0.00","591.00","7.44","False","Due Upon Receipt","False","true","","","false"
"32416","Closed","31916","","CrossLink","AvePoint Fly Migration","13088.00","12/18/2025 12:00 am","Closed - Emailed","Standard","","4980","Corporate","Sales","","N","EWolf","0.00","0.00","13088.00","12/29/2025 8:47 am","","CrossLink","0.00","Main","E-Mail","Avatax","CrossLink","12/18/2025 12:00 am","Order #4980","0.00","0.00","13088.00","0.00","False","Due Upon Receipt","False","false","AvePoint","Chad Wiggins","true"
"32413","Closed","31913","","D. R. Cordell & Associates, Inc. ","","-420.00","12/18/2025 12:00 am","Closed","Credit Memo","","","Corporate","Admin","","N","ABrock","0.00","0.00","420.00","12/18/2025 12:22 pm","","D. R. Cordell & Associates, Inc. ","0.00","Main","E-Mail","Avatax","D.R.Cordell","12/18/2025 12:00 am","","0.00","0.00","-420.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32414","Closed","31914","","Serafin & Associates","","-489.60","12/18/2025 12:00 am","Closed","Credit Memo","","","Corporate","Admin","","N","ABrock","0.00","0.00","489.60","12/18/2025 12:27 pm","","Serafin & Associates","0.00","Main","E-Mail","Avatax","Serafin & Associates","12/18/2025 12:00 am","","0.00","0.00","-489.60","0.00","False","Due Upon Receipt","False","false","","","false"
"32417","Closed","31917","","Spanguard","POTS IT Assessment","5000.00","12/18/2025 12:00 am","Closed - Emailed","Standard","","4981","Corporate","Sales","","N","EWolf","0.00","0.00","5000.00","12/22/2025 10:15 am","","Spanguard","0.00","Main","E-Mail","Avatax","Spanguard Corporation","12/18/2025 12:00 am","Order #4981","0.00","0.00","5000.00","0.00","False","Due Upon Receipt","False","false","","Chad Wiggins","true"
"32405","Closed","31906","","Albrecht Law","Barracuda CORE","1248.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4975","Corporate","Sales","","N","ABrock","0.00","0.00","1248.00","12/22/2025 1:26 pm","","Albrecht Law","0.00","Main","E-Mail","Avatax","Albrecht Law","12/17/2025 12:00 am","Order #4975","0.00","0.00","1248.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32407","Closed","31908","","Autism Behavioral Health","New Server/AWS Migration - Invoice 2 of 2","3010.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4573","Corporate","Admin","","N","EWolf","0.00","0.00","3010.00","01/06/2026 8:48 am","","Autism Behavioral Health","0.00","Main (NEW)","E-Mail","Avatax","Autism Behavioral Health (ABH)","12/17/2025 12:00 am","Order #4573","0.00","0.00","3010.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32406","Closed","31907","","Conejo Valley Services","Conejo-Localroofs Merger: Invoice 3 of 3","1775.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4836","Corporate","Admin","","N","EWolf","0.00","0.00","1775.00","01/06/2026 10:08 am","","Conejo Valley Services","0.00","OLD Main - Storage and Training","E-Mail","Avatax","Conejo Valley Heating and Air","12/17/2025 12:00 am","Order #4836","0.00","0.00","1775.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32400","Closed","31902","","Connecting Dot By Dot","Onsite - Aerohive/WiFi","437.86","12/17/2025 12:00 am","Closed - Emailed","Standard","","4971","Corporate","Admin","","N","EWolf","0.00","0.00","437.86","12/18/2025 3:14 pm","","Connecting Dot By Dot","0.00","Main","E-Mail","West Covina, CA","Connecting Dot by Dot","12/17/2025 12:00 am","Order #4971","0.00","0.00","432.27","5.59","False","Due Upon Receipt","False","false","","","false"
"32409","Closed","31910","","Copper Hills Church","Barracuda Renewal Additional 14 licenses","840.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4977","Corporate","Sales","","N","Ngoodwin","0.00","0.00","840.00","12/17/2025 5:48 pm","","Copper Hills Church","0.00","Main","E-Mail","Avatax","Copper Hills Church","12/17/2025 12:00 am","Order #4977","0.00","0.00","840.00","0.00","False","Due Upon Receipt","False","true","Barracuda","Chad Wiggins","true"
"32410","Closed","31911","","CVG Wealth Management","Aerohive Renewal - 2026","199.96","12/17/2025 12:00 am","Closed - Emailed","Standard","","4978","Corporate","Admin","","N","Ngoodwin","0.00","0.00","199.96","12/17/2025 5:52 pm","","CVG Wealth Management","0.00","Texas Address","E-Mail","Avatax","CVG Wealth Management","12/17/2025 12:00 am","Order #4978","0.00","0.00","197.00","2.96","False","Due Upon Receipt","False","true","","","false"
"32411","Closed","31911.1","","CVG Wealth Management","","7.00","12/17/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Admin","","N","WisePay","0.00","0.00","7.00","12/17/2025 5:52 pm","","CVG Wealth Management","0.00","Main Office","E-Mail","Avatax","CVG Wealth Management","12/17/2025 12:00 am","Online Processing Fee for 31911.1","0.00","0.00","7.00","0.00","False","Due Upon Receipt","False","","","",""
"32408","Closed","31909","","FS Unlimited LLC","IT Assessment","2500.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4976","Corporate","Sales","","N","EWolf","0.00","0.00","2500.00","12/22/2025 7:48 pm","","FS Unlimited LLC","0.00","Main","E-Mail","Avatax","FS Unlimited LLC","12/17/2025 12:00 am","Order #4976","0.00","0.00","2500.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32402","Closed","31904","","OneOncology ","POTS: Ventura Office Go Live Support","5056.00","12/17/2025 12:00 am","No Past Due Notices Sent","Standard","","4973","Corporate","Managed Services","","N","EWolf","0.00","0.00","5056.00","01/12/2026 9:08 am","","OneOncology ","0.00","Nashville Practice","E-Mail","Avatax","OneOncology","12/17/2025 12:00 am","Order #4973","0.00","0.00","5056.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32404","Closed","31905","","Realworld Asset Group","Website Troubleshoot","500.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4974","Corporate","Admin","","N","EWolf","0.00","0.00","500.00","01/09/2026 3:25 pm","","Realworld Asset Group","0.00","www.realworldassetgroup.com","E-Mail","Avatax","RWA Group","12/17/2025 12:00 am","Order #4974","0.00","0.00","500.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32401","Closed","31903","","Water Extraction Team","CORE Barracuda","2880.00","12/17/2025 12:00 am","Closed - Emailed","Standard","","4972","Corporate","Sales","","N","EWolf","0.00","0.00","2880.00","12/17/2025 11:16 am","","Water Extraction Team","0.00","Main","E-Mail","Avatax","Water Extraction Team","12/17/2025 12:00 am","Order #4972","0.00","0.00","2880.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Chad Wiggins","false"
"32403","Closed","31903.1","","Water Extraction Team","","86.40","12/17/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","86.40","12/17/2025 11:16 am","","Water Extraction Team","0.00","Main","E-Mail","Avatax","Water Extraction Team","12/17/2025 12:00 am","Online Processing Fee for 31903.1","0.00","0.00","86.40","0.00","False","Due Upon Receipt","False","","","",""
"32398","Closed","31900","","Turning Point Foundation","New User-Laptops Filmore","2336.50","12/16/2025 12:00 am","No Past Due Notices Sent","Standard","","4969","Corporate","Admin","","N","EWolf","0.00","0.00","2336.50","01/09/2026 3:06 pm","","Turning Point Foundation","0.00","Main (New)","E-Mail","Avatax","Turning Point Foundation","12/16/2025 12:00 am","Order #4969","0.00","0.00","2198.08","138.42","False","Due Upon Receipt","False","false","","","false"
"32399","Closed","31901","","Turning Point Foundation","Laptop T. Colangelo OPSH","1168.25","12/16/2025 12:00 am","No Past Due Notices Sent","Standard","","4970","Corporate","Admin","","N","EWolf","0.00","0.00","1168.25","01/09/2026 3:04 pm","","Turning Point Foundation","0.00","Main (New)","E-Mail","Avatax","Turning Point Foundation","12/16/2025 12:00 am","Order #4970","0.00","0.00","1099.04","69.21","False","Due Upon Receipt","False","false","","","false"
"32397","Closed","31717.1","","Westchester Disabled On the Move","","3.76","12/16/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Managed Services","","N","WisePay","0.00","0.00","3.76","12/16/2025 11:19 am","","Westchester Disabled On the Move","0.00","Main","E-Mail","Avatax","Westchester Disabled On the Move","12/16/2025 12:00 am","Online Processing Fee for 31717.1","0.00","0.00","3.76","0.00","False","Due Upon Receipt","False","","","",""
"32389","Closed","31893","","Arc Research Institute","Illustrator- Matyas Bende","360.14","12/15/2025 12:00 am","No Past Due Notices Sent","Standard","","4962","Corporate","Admin","","N","ABrock","0.00","0.00","360.14","12/17/2025 10:14 am","","Arc Research Institute","0.00","Main","E-Mail","Avatax","ARC Research","12/15/2025 12:00 am","Order #4962","0.00","0.00","360.14","0.00","False","Due Upon Receipt","False","false","","","false"
"32391","Closed","31895","","Blue Ocean Barns","(1) TZ270 Renewal - 2026","617.93","12/15/2025 12:00 am","Closed - Emailed","Standard","","4964","Corporate","Admin","","N","Ngoodwin","0.00","0.00","617.93","01/05/2026 9:45 am","","Blue Ocean Barns","0.00","NOT ACTIVE - Nelha - default shipping address","E-Mail","Avatax","Blue Ocean Barns","12/15/2025 12:00 am","Order #4964","0.00","0.00","617.93","0.00","False","Due Upon Receipt","False","true","","","false"
"32390","Closed","31894","","Carroll Advisory Group, LLC","Barracuda","639.60","12/15/2025 12:00 am","Closed - Emailed","Standard","","4963","Corporate","Sales","","N","ABrock","0.00","0.00","639.60","12/22/2025 4:24 pm","","Carroll Advisory Group, LLC","0.00","Main","E-Mail","Avatax","Carroll Advisory Group, LLC","12/15/2025 12:00 am","Order #4963","0.00","0.00","600.00","39.60","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32393","Closed","31897","","Crossroads Community Church","TZ270 Renewal - 2026","664.88","12/15/2025 12:00 am","Closed - Emailed","Standard","","4966","Corporate","Admin","","N","Ngoodwin","0.00","0.00","664.88","12/15/2025 7:23 pm","","Crossroads Community Church","0.00","Main","E-Mail","Avatax","Crossroads Community Church","12/15/2025 12:00 am","Order #4966","0.00","0.00","619.93","44.95","False","Due Upon Receipt","False","true","","","false"
"32394","Closed","31898","","Ransom Seed Laboratory","TZ370 Renewal - 2026","963.10","12/15/2025 12:00 am","Closed - Emailed","Standard","","4967","Corporate","Admin","","N","Ngoodwin","0.00","0.00","963.10","12/15/2025 7:23 pm","","Ransom Seed Laboratory","0.00","Shipping","E-Mail","Avatax","Ransom","12/15/2025 12:00 am","Order #4967","0.00","0.00","883.58","79.52","False","Due Upon Receipt","False","true","","","false"
"32395","Closed","31899","","RCS Management LLC","Project","300.00","12/15/2025 12:00 am","Closed - Emailed","Standard","","4968","Corporate","Sales","","N","EWolf","0.00","0.00","300.00","12/15/2025 7:22 pm","","RCS Management LLC","0.00","Main","E-Mail","Avatax","RCS Management LLC","12/15/2025 12:00 am","Order #4968","0.00","0.00","300.00","0.00","False","Due Upon Receipt","False","false","","Marcello Moreira","true"
"32396","Closed","31899.1","","RCS Management LLC","","9.00","12/15/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","9.00","12/15/2025 7:22 pm","","RCS Management LLC","0.00","Main","E-Mail","Avatax","RCS Management LLC","12/15/2025 12:00 am","Online Processing Fee for 31899.1","0.00","0.00","9.00","0.00","False","Due Upon Receipt","False","","","",""
"32392","Closed","31896","","Teddy Bear Cancer Foundation","TZ270W Renewal 2026","770.55","12/15/2025 12:00 am","No Past Due Notices Sent","Standard","","4965","Corporate","Sales","","N","Ngoodwin","0.00","0.00","770.55","02/23/2026 12:52 pm","","Teddy Bear Cancer Foundation","0.00","Main","E-Mail","Avatax","Teddy Bear Cancer Foundation","12/15/2025 12:00 am","Order #4965","0.00","0.00","705.31","65.24","False","Due Upon Receipt","False","true","","","false"
"32388","Closed","31892","","Calpine Containers","November Billable Hours","1187.50","12/12/2025 12:00 am","No Past Due Notices Sent","Miscellaneous","","","Corporate","Admin","","N","EWolf","0.00","0.00","0.00","","","Calpine Containers","1187.50","Main","E-Mail","Avatax","Calpine Containers, Inc.","12/12/2025 12:00 am","Tier 1 Billable Hours","0.00","0.00","1187.50","0.00","False","Due Upon Receipt","False","false","","","false"
"32386","Closed","31869.1","","3 Rivers Pharmacy","","28.80","12/11/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","28.80","12/11/2025 12:37 pm","","3 Rivers Pharmacy","0.00","Main","E-Mail","Avatax","3 Rivers Pharmacy","12/11/2025 12:00 am","Online Processing Fee for 31869.1","0.00","0.00","28.80","0.00","False","Due Upon Receipt","False","","","",""
"32384","Closed","31889","","A Change in Trajectory (ACT)","Monthly Managed Services","4838.19","12/11/2025 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","4838.19","01/02/2026 10:31 am","Managed Services","A Change in Trajectory (ACT)","0.00","(new) Main","E-Mail","Avatax","A Change in Trajectory (ACT)","12/11/2025 12:00 am","Monthly Billing for January","0.00","0.00","4809.56","28.63","False","Due Upon Receipt","False","false","","","false"
"32385","Closed","31890","","SecuriTech","Overpayment for Jan 2026 MS","-188.42","12/11/2025 12:00 am","Closed","Credit Memo","","","Corporate","Admin","","N","EWolf","0.00","0.00","188.42","12/11/2025 12:06 pm","","SecuriTech","0.00","Main","E-Mail","Reseda, CA","SecuriTech","12/11/2025 12:00 am","","0.00","0.00","-185.00","-3.42","False","Due Upon Receipt","False","false","","","false"
"32387","Closed","31891","","SecuriTech","Managed Service Credit Feb-Jun 2026","-942.07","12/11/2025 12:00 am","No Past Due Notices Sent","Credit Memo","","","Corporate","Admin","P1 to credit SecuriTech for 6mos of managed services. Jan 2026 MS invoice was credited on a different credit memo.","N","EWolf","0.00","0.00","942.07","05/01/2026 3:06 pm","","SecuriTech","0.00","Main","E-Mail","Reseda, CA","SecuriTech","12/11/2025 12:00 am","","0.00","0.00","-925.00","-17.07","False","Due Upon Receipt","False","false","","","false"
"32377","Closed","31885","","2.0 Capital Partners Ltd.","AvePoint","36.00","12/10/2025 12:00 am","Closed","Standard","","4957","Corporate","Sales","","N","ABrock","0.00","0.00","36.00","12/10/2025 12:51 pm","","2.0 Capital Partners Ltd.","0.00","Main","E-Mail","Avatax","2.0 Capital Partners Ltd.","12/10/2025 12:00 am","Order #4957","0.00","0.00","36.00","0.00","False","Due Upon Receipt","False","false","AvePoint","Marcello Moreira","true"
"32378","Closed","31885.1","","2.0 Capital Partners Ltd.","","1.08","12/10/2025 12:00 am","Closed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","1.08","12/10/2025 12:51 pm","","2.0 Capital Partners Ltd.","0.00","Main","E-Mail","Avatax","2.0 Capital Partners Ltd.","12/10/2025 12:00 am","Online Processing Fee for 31885.1","0.00","0.00","1.08","0.00","False","Due Upon Receipt","False","","AvePoint","Marcello Moreira","true"
"32376","Closed","31884","","Banc Consulting Partners","SSL VPN Licenses","445.00","12/10/2025 12:00 am","No Past Due Notices Sent","Standard","","4956","Corporate","Admin","","N","ABrock","0.00","0.00","445.00","01/14/2026 4:33 pm","","Banc Consulting Partners","0.00","Main","E-Mail","Avatax","Banc Consulting Partner","12/10/2025 12:00 am","Order #4956","0.00","0.00","445.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32379","Closed","31886","","Outabox Inc","Barracuda","1200.00","12/10/2025 12:00 am","Closed - Emailed","Standard","","4958","Corporate","Sales","","N","ABrock","0.00","0.00","1200.00","12/10/2025 1:47 pm","","Outabox Inc","0.00","Main","E-Mail","Avatax","Outabox Inc","12/10/2025 12:00 am","Order #4958","0.00","0.00","1200.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32380","Closed","31886.1","","Outabox Inc","","42.00","12/10/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","42.00","12/10/2025 1:47 pm","","Outabox Inc","0.00","Main","E-Mail","Avatax","Outabox Inc","12/10/2025 12:00 am","Online Processing Fee for 31886.1","0.00","0.00","42.00","0.00","False","Due Upon Receipt","False","","","",""
"32382","Closed","31888","","Solar and Energy Loan Fund (SELF)","M365 Emergency Discovery","500.00","12/10/2025 12:00 am","Closed - Emailed","Standard","","4961","Corporate","Sales","","N","EWolf","0.00","0.00","500.00","12/10/2025 2:48 pm","","Solar and Energy Loan Fund (SELF)","0.00","Main","E-Mail","Avatax","Solar and Energy Loan Fund (SELF)","12/10/2025 12:00 am","Order #4961","0.00","0.00","500.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32383","Closed","31888.1","","Solar and Energy Loan Fund (SELF)","","15.00","12/10/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","15.00","12/10/2025 2:48 pm","","Solar and Energy Loan Fund (SELF)","0.00","Main","E-Mail","Avatax","Solar and Energy Loan Fund (SELF)","12/10/2025 12:00 am","Online Processing Fee for 31888.1","0.00","0.00","15.00","0.00","False","Due Upon Receipt","False","","","",""
"32381","Closed","31887","","Turning Point Foundation","Aerohive Renewal - The Elms ","401.89","12/10/2025 12:00 am","Closed - Emailed","Standard","","4960","Corporate","Sales","","N","Ngoodwin","0.00","0.00","401.89","01/09/2026 3:03 pm","","Turning Point Foundation","0.00","Main (New)","E-Mail","Ventura, CA","Turning Point Foundation","12/10/2025 12:00 am","Order #4960","0.00","0.00","396.72","5.17","False","Due Upon Receipt","False","false","","","false"
"32370","Closed","31881","","Aero Technical Metal Finishing - Afranie","","-4450.00","12/09/2025 12:00 am","No Past Due Notices Sent","Credit Memo","","","Corporate","Admin","Emily Wolf Wed 12/10/2025 11:08 AM UTC-05  For 1nvoices 25511, 25718 and 25933 have been unbatched. Taxable products have been removed for the purpose of applying credit memos. Quantities adjusted on service products to compensate for $800 payment made on invoice 25511. Approved by CB.  ","N","ABrock","0.00","0.00","4450.00","12/10/2025 11:10 am","","Aero Technical Metal Finishing - Afranie","0.00","Main","E-Mail","Valencia CA (Santa Clarita)","Aero Tech Metal","12/09/2025 12:00 am","","0.00","0.00","-4450.00","0.00","False","Due Upon Receipt","False","false","","","false"
